/home/jules/.pyenv/versions/3.12.12/lib/python3.12/site-packages/backtesting/lib.py:301: FutureWarning: 'H' is deprecated and will be removed in a future version, please use 'h' instead.
  resampled = series.resample(rule, label='right').agg(agg).dropna()
Backtest.run:   0%|          | 0/31065 [00:00<?, ?bar/s]Time: 2023-01-01 05:00:00, Price: 16507.99, ETF VWAP: nan, ETF Trigger: nan, Low: 16503.19
Time: 2023-01-03 04:45:00, Price: 16680.27, ETF VWAP: nan, ETF Trigger: nan, Low: 16676.37
Time: 2023-01-03 05:00:00, Price: 16690.83, ETF VWAP: nan, ETF Trigger: nan, Low: 16677.02
Time: 2023-01-03 05:15:00, Price: 16687.3, ETF VWAP: nan, ETF Trigger: nan, Low: 16684.75
Time: 2023-01-03 05:30:00, Price: 16704.96, ETF VWAP: nan, ETF Trigger: nan, Low: 16685.06
Time: 2023-01-03 05:45:00, Price: 16719.71, ETF VWAP: nan, ETF Trigger: nan, Low: 16704.27
Time: 2023-01-03 06:00:00, Price: 16731.01, ETF VWAP: nan, ETF Trigger: nan, Low: 16719.29
Time: 2023-01-03 06:15:00, Price: 16754.64, ETF VWAP: nan, ETF Trigger: nan, Low: 16730.11
Time: 2023-01-03 06:30:00, Price: 16731.54, ETF VWAP: nan, ETF Trigger: nan, Low: 16725.89
Time: 2023-01-03 06:45:00, Price: 16723.12, ETF VWAP: nan, ETF Trigger: nan, Low: 16718.49
Time: 2023-01-03 07:00:00, Price: 16722.83, ETF VWAP: nan, ETF Trigger: nan, Low: 16714.95
Time: 2023-01-03 07:15:00, Price: 16711.84, ETF VWAP: nan, ETF Trigger: nan, Low: 16706.66
Time: 2023-01-03 07:30:00, Price: 16715.16, ETF VWAP: nan, ETF Trigger: nan, Low: 16703.48
Time: 2023-01-03 07:45:00, Price: 16725.15, ETF VWAP: nan, ETF Trigger: nan, Low: 16715.35
Time: 2023-01-03 08:00:00, Price: 16712.38, ETF VWAP: nan, ETF Trigger: nan, Low: 16710.94
Time: 2023-01-03 08:15:00, Price: 16715.24, ETF VWAP: nan, ETF Trigger: nan, Low: 16705.57
Time: 2023-01-03 08:30:00, Price: 16698.64, ETF VWAP: nan, ETF Trigger: nan, Low: 16693.87
Time: 2023-01-03 08:45:00, Price: 16710.67, ETF VWAP: nan, ETF Trigger: nan, Low: 16697.62
Time: 2023-01-03 09:00:00, Price: 16722.83, ETF VWAP: nan, ETF Trigger: nan, Low: 16711.0
Time: 2023-01-03 09:15:00, Price: 16723.15, ETF VWAP: nan, ETF Trigger: nan, Low: 16719.95
Time: 2023-01-03 09:30:00, Price: 16738.92, ETF VWAP: nan, ETF Trigger: nan, Low: 16722.21
Time: 2023-01-03 09:45:00, Price: 16736.8, ETF VWAP: nan, ETF Trigger: nan, Low: 16730.04
Time: 2023-01-03 10:00:00, Price: 16729.34, ETF VWAP: nan, ETF Trigger: nan, Low: 16727.71
Time: 2023-01-03 10:15:00, Price: 16730.88, ETF VWAP: nan, ETF Trigger: nan, Low: 16725.89
Time: 2023-01-03 10:30:00, Price: 16733.72, ETF VWAP: nan, ETF Trigger: nan, Low: 16725.92
Time: 2023-01-03 10:45:00, Price: 16719.06, ETF VWAP: nan, ETF Trigger: nan, Low: 16716.28
Time: 2023-01-03 11:00:00, Price: 16722.55, ETF VWAP: nan, ETF Trigger: nan, Low: 16717.91
